,Unnamed: 0,WritingDate,Title,Conclusion,OrgNameDisc
0,0,2025-05-12,汉朔科技(301275)：电子价签行业领跑者 助力泛零售数字化升级,"　　核心结论：我们预计：公司有望在2025 年-2027 年分别实现归母净利润8.18亿元、9.68 亿元、11.66 亿元，对应当前PE 为29.25x、24.72x、20.54x。
　　首次覆盖，给予“买入”评级。
　　公司作为全球领先的智能IoT 硬件和行业数字化解决方案提供商之一，主要服务于商超、3C、餐饮等泛零售行业。公司围绕电子价签（Electronic ShelfLabel，ESL）物联网系统构建了全面的软硬件技术体系，并进一步将业务拓展到配件及其他智能硬件以及软件、软件运营服务（SaaS）及技术服务，有效帮助泛零售行业客户在数字化转型的行业生态中实现新的发展。
　　下游需求持续增长，公司与大客户保持良好的商务合作关系：根据公司招股说明书，欧洲、美国、日本等国家和地区目前已有大量商超应用电子价签，全球市场渗透率约15%。其中，法国作为电子价签使用量相对较多的国家，渗透率已经达30%以上。公司制定了聚焦优质大客户的经营战略，通过与全球零售大客户的深度合作，在零售业数字化转型进程中占据一定的先发优势。公司与主要客户建立较为良好的商务合作关系，有助于公司保持订单节奏的稳定性，有望助力公司业务实现可持续性较强、确定性较高的增长。
　　公司自主研发关键通信协议HiLPC，软硬件协同优势明显：公司自主研发的HiLPC 协议广泛适用于各产品条线通信及数据传输，具有抗干扰和吞吐能力强、并发量大、低功耗等优势。公司依托自身在通信协议等领域的技术积累，以软硬件结合的方式，有效适应零售业客户对线下门店的运营需求，有望进一步扩大自身竞争优势，在零售业数字化转型的背景下持续扩大市场份额。
　　同时，公司作为电子价签行业头部企业，有望在人工智能时代为零售业的数字化转型提供创新路径，助力零售业加速实现智能化转型。
　　风险提示：下游需求不及预期；贸易风险加剧；公司新产品落地和商业化不及预期；宏观经济不及预期。",西部证券
1,1,2025-05-11,科大智能(300222)：战略聚焦数字能源 拓展智能机器人应用,"　　公司深耕电力能源领域，聚焦数字能源战略成效初显。公司成立于2002 年，是一家深耕电力能源领域20 余年，通过自主研制智能化产品集“源-网-荷-储”完整产业链布局的数字能源综合解决方案供应商，目前已形成数字能源、智能机器人应用两大业务板块。24 年数字能源板块收入占比达76.71%，贡献主要收入来源。公司领先 AI 技术赋能电网，构建系统级智能中枢，是国内新能源行业唯一具备工业AI 自主调控微电网技术并拥有大型案例的公司。24 年公司实现营收27.39 亿元，实现归母净利润0.7 亿元，同比+154.79%，扭亏为盈。
　　数字能源板块：源网荷储全链路发展，构建新型电力系统全场景服务能力。①国内电网投资进入上行周期，配网投资占比有望进一步提升。
　　2024 年国网网省物资中标金额2408.08 亿元，同比+22.66%。公司智能配电和用电产品竞争力强，2024 年公司一二次融合成套柱上断路器中标2.06 亿元，排名第二；电能表中标1.06 亿元，同比+65.64%，有望持续释放增长动能。②政策推动峰谷价差拉大、分布式装机增长，催生储能、微电网市场需求。公司储能、微电网业务发展迅速，形成“源-网-荷-储”完整产业链布局，产品深受下游客户认可。
　　智能机器人应用板块：行业未来前景广阔，公司重整业务再出发。公司为汽车、新能源、电力、轨道交通等领域提供智能机器人产品及综合解决方案，产品矩阵丰富，能满足不同工业场景的复杂需求。24 年智能机器人应用毛利率达30.37%，同比+2.86pct，盈利能力增强。
　　盈利预测与投资建议：预计25-27 年归母净利润1.79/2.90/4.01 亿元，同比+155.6%/62.0%/38.5%。参考可比公司，给予25 年0.9 倍 PEG估值（对应25-27 年复合增速79%），对应合理价值16.34 元/股，给予“买入”评级。
　　风险提示：电网投资不及预期；市场竞争加剧的风险；智能制造推进不及预期。",广发证券
2,2,2025-05-09,海晨股份(300873)：业内稀缺跨领域物流方案提供商 AMHS业务构筑第二成长曲线,"　　业内稀缺一体化供应链解决方案领军企业，下游优质客户增厚公司业绩弹性。公司长期聚焦服务于消费电子、新能源汽车、新材料、消费品和半导体等重点行业，为众多行业龙头客户提供量身定做的一体化制造业物流解决方案。2024年公司“电子信息业务+新能源汽车业务”营收占总营收比重为96.1%。下游客户方面，公司长期服务于多家世界500 强和中国500 强制造业企业客户。并打造“产品-运营-客户”三位一体的服务体系，客户粘性较强，助力公司巩固和拓展市场份额，实现持续稳健发展，2020-2024 年公司营业收入CAGR 为11.3%。
　　优质客户为公司业绩提供弹性支撑，公司主要客户联想集团FY2025Q1-3 个人电脑和智能设备业务实现营收387.20 亿美元 ，同比增长13.4%。
　　具备复制业务核心能力，经营韧性较强。2023 年12 月，公司与重庆瑞驰签订增资协议，布局新能源商用车供应链赛道，公司通过复制核心能力实现横向业务扩张，有效对冲业务风险。2024 年公司新能源L 客户业务收入同比减少4.3亿元，虽然24 年公司新增新能源汽车客户S（重庆）和V（安徽）的业务有效缓和了部分营收下滑压力，但公司整体业绩仍小幅承压。营收方面，2024 年营收同比下滑9.74%，在扣除L 客户因素之后，物流服务板块营收保持增长，凸显公司的经营韧性；盈利能力方面，2024 年 公司毛利率和净利率分别为25.11%和18.64%，分别较2023 年全年提升2.46pct 和2.47pct ，实现向上修复。
　　布局半导体AMHS 业务，构筑公司第二增长极。公司长期重视机器人和人工智能等新技术在物流领域的应用，拥有十余年丰富的自动化和智能化设计、生产和运营经验。1）公司收购昆山盟立，布局半导体AMHS 业务。2023 年12月，公司收购整合昆山盟立，业务拓展至物流机器人与设备制造领域，增强公司在物流装备自动化领域的综合实力，2024 年公司半导体物流装备及自动化业务实现营收1.4 亿元，具备较大发展潜力，有望成为公司第二增长极。2）AMHS市场空间广阔，国产化率提升空间大，AMHS 系统已成为芯片厂晶圆的生产过程不可或缺的部分，其极大地提升了工厂的自动化程度和整体生产效率。据集微网数据，2023 年AMHS 国产化率仅5%。赛迪顾问预计2025 年全球和中国大陆地区AMHS 市场规模分别为39.2 亿美元和81.5 亿元。
　　投资建议：公司为业内稀缺跨行业一体化供应链解决方案提供商，综合物流服务业务基本盘稳固，半导体物流装备及自动化业务有望成为公司第二增长极。
　　我们预计公司2025-2027 年实现营收18.3/20.1/22.0 亿元，归母净利润分别为3.3/3.8/4.2 亿元，EPS 分别为1.44/1.64/1.84 元，当前股价对应PE 分别为15/13/12 倍。首次覆盖，给予“推荐”评级。
　　风险提示：下游制造业行业下行风险，客户集中度较高风险，新业务开展不及预期。",民生证券
3,3,2025-05-08,川环科技(300547)：汽车管路龙头 进军AIDC液冷可期,"　　公司基本情况：公司成立于2002 年，自设立以来一直专注于车用胶管系列产品，主营业务包括传统燃油汽车、新能源汽车、摩托车用橡塑软管及总成，产品涵盖燃油系统胶管、冷却系统胶管、制动系统胶管、动力转向胶管等，目前已和国内50 多家主机厂、50 多家摩托车厂商、200 多家二次配套厂商建立稳定供配关系，并已开始批量供货储能冷却系统管路产品。
　　公司业绩方面：受益于新能源汽车行业需求增长，公司2022-2024 年分别实现收入9.07/11.09/13.63 亿元，yoy+16.81%/+22.31%/+22.88%；分别实现净利润1.22/1.62/2.03 亿元，yoy+16.60%/+32.32%/+25.15%。
　　主业方面：下游汽车需求带动管路行业增长，公司产品及客户覆盖齐全行业方面，2024 年国内新能源汽车销量为1285.8 万辆，同比增长35.42%。
　　我们预计未来汽车行业持续向节能、环保、轻量化、总成化、智能化、网联化方向发展，行业整体发展趋势良好。
　　目前公司对橡胶和尼龙两种类型的产品均可设计、开发和生产，技术路线覆盖全面；客户方面，公司拥有50 多家汽车主机厂、50 多家摩托车厂以及上百家二次配套厂商的客户群体。
　　增量业务-数据中心：积极进军AIDC 行业的液冷管路及接头，有望受益液冷趋势
　　2024 年以来，公司积极布局进军AIDC 行业，管路产品已通过UL 认证，并获得批量订单、进入多个液冷服务器相关公司的供应商体系。同时公司积极研发液冷相关接头产品，截至2025 年4 月已研发完成初样、处于客户验证和问题征集改善阶段，预计后续有望进一步横向开拓产品、打开下游市场空间。
　　当前海内外主要CSP 厂商进行AIDC 军备竞赛，行业空间显著增长。过去风冷系统通过让冷源更靠近热源，或密封冷通道/热通道的方案，来适应更高的热密度散热需求。但是，随着机架密度升至20kW 以上，多种液冷技术应运而生，从而满足高热密度机柜的散热需求。
　　盈利预测
　　我们预计公司25-27 年营收分别达17.80/22.88/29.23 亿元，yoy+30.5%/+28.6%/+27.8% ， 归母净利润分别为2.60/3.71/4.60 亿元，yoy+28.43%/+42.52%/+24.00%。
　　我们选取国内汽车零部件相关企业拓普股份、双林股份，及主营业务同样为汽车用流体管路的溯联股份作为可比公司，根据WIND 一致预期，可比公司2025 年平均PE 37.55X；考虑公司主业汽车胶管的竞争优势及下游行业增速，以及AIDC 行业相关产品的积极开拓，给予公司2025 年37.55X PE，对应目标价45.07 元，首次覆盖，给予“买入”评级。
　　风险提示：原材料价格波动风险；汽车行业政策风险；汽车零配件行业账期风险；产品价格波动风险；数据中心市场开拓不及预期风险；文中测算具有一定的主观性，仅供参考。",天风证券
4,4,2025-05-09,金力永磁(300748)：秉技术优势 乘行业东风 迎跨越发展,"　　金力永磁是全球领先的高性能稀土永磁材料龙头企业。纵向来看，公司产能从2021年的1.5 万吨增长至2024 年实际3.8 万吨，将于2027 年建成6 万吨；近5 年研发费用率保持4%-5%区间；横向来看，25Q1 公司境外收入占比17.76%，占比较低；公司产品磁性能、耐温、耐蚀等技术指标业内领先；研发人员数量持续增长，尤其是在前期行业整体逆风环境下，公司是业内少有的持续扩大先进产能规模，布局人形机器人等未来重要需求增长点的企业。公司3 月29 日发布的股权激励计划，按收入考核目标相当于用3 年时间再造一个金力，彰显对未来发展的强劲信心。
　　行业Beta 与公司Alpha 有望共振。行业层面，国内政策强化稀土行业全产业链监管，持续优化供给格局，2024 年稀土配额增速下降至5%，国外缅甸封关解除后3个月内稀土进口量仍同比下降75%以上，25 年4 月出口管制进一步推升海外中重稀土价格，国内稀土价格于24Q2 触底，未来有望持续回升；公司层面，变更H 股募集0.96 亿元资金加码包头项目建设，持续与高端客户合作，产品竞争壁垒不断增强；积极推进精益生产，单吨成本控制能力业内领先。稀土永磁产品采用成本加成法定价，在稀土价格上行时，公司产品吨毛利或将展现更高的弹性。
　　未来增长看点颇多。公司在现有的新能源汽车、节能变频空调与风力发电等领域龙头地位稳固，按装机量测算，公司产品市占率分别为30.2%、54.4%、36.5%，未来公司有望获得行业增长与市占率提升的“双击”。人形机器人方面，公司已初具一定的规模化生产能力，产业化进程快速推进。根据我们的测算，人形机器人对稀土永磁材料的需求空间广阔，2000 万台人形机器人的磁材消耗量或达9 万吨，约占2024 年总需求量的30%。公司在下一轮产业周期，有望获得更广阔的发展空间。
　　公司是全球新能源汽车、节能变频空调以及风力发电等磁钢应用领域的领先供应商，人形机器人产业化建设飞速发展，未来三年有望实现跨越式成长。我们预测公司2025-2027 年每股收益分别为0.52、0.82、1.00 元。由于公司产能迅速增长，且产品吨毛利随着稀土价格上涨，或有较大的提升空间，故按公司2026 年的市盈率估值水平，给予公司31 倍PE 估值，对应目标价为25.42 元，首次给予买入评级。
　　风险提示
　　需求不及预期；行业竞争加剧；稀土价格下行；假设条件变化影响测算结果。",东方证券
5,5,2025-05-06,华策影视(300133)：优质内容商业价值有望借力AI持续增强,"　　持续夯实内容 发挥长剧优势布局短剧
　　2024 年公司主业电视剧制作、电视剧版权发行收入分别为11.94、3.79 亿元（收入占比分别为61.55%、19.52%），剧集端从《周生如故》到《我是刑警》《承欢记》《锦绣安宁》再到《国色芳华》均已凸显其剧集能力，作为剧集内容头部企业，出品内容已具市场品牌效应，伴随用户新需求变化，公司积极布局短剧业务，围绕团队、IP、AI、国际等要素建立制作营销模式，复刻精品短剧方法论。 2024 年中国微短剧市场规模达504 亿，预计2027 年将超1000 亿，短剧行业也从野蛮生长到深耕精品，公司当下加码短剧也是较好的切入窗口。2025 年一季度公司营业总收入5.86 亿元（同比+231.96%），归母净利润0.921 亿元（同比+206.9%），开年的较好业绩得益于电视剧销售规模同比增长，也为后续的业务发展奠定较好基础。
　　初试算力 借力AI 增强内容价值
　　公司积极布局AI，借力AI 赋能创作与营销，探索内容生产新范式，影视内容也是文化数字产品组成一部分，基于对未来数智化发展趋势公司在2024 年初探算力业务，截至2024年底公司已有算力规模2000P，2024 年公司算力收入0.1795亿元，毛利率为25.93%， 2025 年1 月将其作为独立业务单元长期运营， 2025 年 3 月设立全资子公司开展算力业务并发展智算服务，未来将根据算力市场需求和大视听行业需求，进一步扩充算力规模和算力服务能力。
　　前瞻布局未来产业 保持好奇心
　　内容作为强供给板块，需要企业持续保持好奇心，伴随用户代际变化，新供给才能拉动新需求，公司战略投资智谱华章，并建立战略合作，为公司数字化变革升级提供了有力的支持。公司“有风”大模型、“国色”大模型推出构建了全球首个影视垂直领域大模型，确立公司在数字内容生产领域的技术领导地位，形成""AI+本地化""的新型范式。
　　盈利预测
　　预测公司2025-2027 年收入分别为22.83、26.07、30.77 亿元，归母净利润分别为4.08、5.17、6.46 亿元，EPS 分别为0.21、0.27、0.34 元，当前股价对应PE 分别为33.6、26.5、21.2 倍，作为头部内容创作公司，全面拥抱AI 等新技术，新质生产力赋能内容可期，短期看优质内容持续供给，中长期看文化强国与版权强国双推动下，公司“内容+科技”战略落地带来的经济与社会效应双升，后续公司也将利用上市公司优势，通过投资并购等资本手段围绕短剧、科技、国际三大方向布局，形成以内容为主体，产业与资本为两翼的发展格局，进而维持“买入”投资评级。
　　风险提示
　　新技术应用不及预期的风险；电影、电视剧行业增速放缓风险；盗版的风险；作品内容审查审核的风险；政策及监管环境的风险；电影等项目延期上映导致业绩波动风险；原创作品存在被盗版盗播等知识产权风险；知识产权纠纷风险、仲裁和诉讼风险、内容多元化业务发展存在不确定性的风险、突发公共卫生事件的风险、宏观经济波动的风险。",华鑫证券
6,6,2025-05-05,新莱应材(300260)：2024年泛半导体支撑营收微增 成立合资子公司布局液冷领域,"　　核心观点
　　2024 年公司实现营收28.49 亿元，同比增加5.08%，泛半导体业务营收8.61 亿元，同比增长29.90%，半导体下游支撑营收微增，营收占比30.21%，同比+5.78pct，食品及医药类业务短期承压。
　　食品主业毛利率呈上升趋势，支撑整体盈利能力提升，2024 年归母及扣非微降。公司重点布局国产化率较低的产品和耗材属性产品，看好后续研发进展，食品下游需求有望2025 年看到拐点，看好公司国产替代战略。
　　事件
　　2024 年公司实现营收28.49 亿元，同比增加5.08%；归母净利润2.26 亿元，同比下降4.05%；扣非归母净利润2.27 亿元，同比下降0.93%。
　　2025Q1 公司实现营收6.73 亿元，同比下降2.33%；归母净利润0.51 亿元，同比下降25.56%；扣非归母净利润0.51 亿元，同比下降14.60%。
　　简评
　　半导体下游带动2024 年营收微增，食品主业支撑毛利率提升2024 年半导体下游支撑营收微增，国内营收保持增长。2024 年公司实现营收28.49 亿元，同比增长5.08%。营收分下游来看，2024 年公司食品类业务营收16.80 亿元，同比下降2.84%，营收占比58.98%，同比-4.81pct；泛半导体业务营收8.61 亿元，同比增长29.90%，营收占比30.21%，同比+5.78pct；医药类业务营收3.05 亿元，同比下降3.16%，营收占比10.70%，同比-0.91pct。
　　营收分地区来看，2024 年公司国内营收21.46 亿元，同比增长12.39%，营收占比75.33%，同比+4.91pct；国外营收7.03 亿元，同比下降12.35%，营收占比24.67%，同比-4.91pct。
　　盈利能力有所提升，利润率相对稳定。盈利能力端来看，2024年公司实现毛利率25.72%，同比+0.42pct，其中食品类、泛半导体类、医药类业务毛利率分别为23.87%、28.88%、27.00%，同比分别+2.49pct、-1.41pct、-9.68pct。费用端来看，2024 年公司期间费用率16.08%，同比+0.96pct，其中销售、管理、研发、财务费用率分别为5.89%、4.49%、4.32%、1.37%，同比分别+0.29pct、+0.48pct、+0.25pct、-0.06pct　　归结到利润端，2024 年公司实现归母净利润2.26 亿元，同比下降4.05%，对应归母净利率7.94%，同比-0.76pct；扣非归母净利润2.27 亿元，同比下降0.93%，对应扣非归母净利润7.95%，同比-0.30pct。
　　中美贸易摩擦导致半导体下游海外营收下降，2025Q1 营收、业绩有所承压。2025Q1 公司实现营收6.73 亿元，同比下降2.33%，其中2025Q1 受中美贸易摩擦与海外对阀门等卡脖子零部件制裁等影响，公司半导体业务海外营收有所下降，导致半导体业务规模同比基本持平，食品及医药类业务尚未出现拐点，同比表现相对平淡。营收规模下降导致公司2025Q1 归母净利润0.51 亿元，同比下降25.56%；扣非归母净利润0.51 亿元，同比下降14.60%。
　　半导体领域加大关键零部件研发，成立合资子公司布局液冷领域持续加大半导体关键零部件研发。公司持续提供高端高效高洁净泵、超洁净管道管件、超洁净高真空腔体、生物用无菌阀门等系列产品，同时加大研发对控压蝶阀、控压钟摆阀、高性能ALD 阀、高效率离心泵、应用于高洁净要求的PVD/CVD 腔体及核心零部件、精密毛细管换热器、均质机等研发优化，提高技术成果转化水平。
　　与永阳精密成立合资子公司，布局液冷设备与管路并提供整体解决方案。公司与宁波永阳精密合资在昆山市设立江苏菉康普挺精密科技有限公司，可为我国关键行业提供更多的具有自主知识产权的机架式、机柜式、浸没式液冷设备，数据中心/服务器行业的管路研发、生产、销售、配件生产/销售、提供液冷整体解决方案，将打造公司新的利润增长点，提升公司核心竞争力。
　　投资建议
　　预计公司2025-2027 年营业收入分别为30.55、34.01、37.26 亿元，同比分别增长7.25%、11.30%、9.56%，2025-2027年归母净利润分别为2.65、3.37、4.07 亿元，同比分别增长16.87%、27.35%、20.88%，对应2025-2027 年PE估值分别为49.05x、38.52x、31.86x，维持“买入”评级。
　　风险分析
　　（1）国际贸易风险：若国际形势持续动荡，公司将面临海外客户流失风险，对经营产生不利影响。
　　（2）下游扩产不及预期风险：若各行业周期性波动导致下游资本开支减缓，公司将面临市场需求下降的风险，对公司经营业绩造成不利影响。
　　（3）应收账款风险：公司业务合同执行周期较长，可能会存在部分客户延迟验收或者坏账风险，对公司经营产生不利影响。
　　（4）人才管理风险：公司规模持续扩大，对核心技术人才和管理人才的需求持续增加，若公司无法引进大量人才，将对公司后续产品开发以及管理经营会造成不利影响。",中信建投证券
7,7,2025-04-30,雷迪克(300652)：精密制造基因赋能 人形机器人丝杠新锐,"　　汽车轴承隐形冠军，拓展OEM 主业迎拐点
　　公司是国内汽车轴承核心供应商，主要产品包括轮毂轴承、圆锥轴承等，与SKF、小鹏等优质客户深度合作。公司从后装AM 拓展至前装OEM 市场，受益下游客户放量及国产替代，前装市场大幅增长，主业迎来增长拐点。凭借二十余年在汽车轴承领域积累的优势，公司通过收购丝杠企业、设立机器人子公司等方式，整合机器人产业链资源，成为人形机器人丝杠新锐。公司主业迎来增长拐点，第二曲线机器人新业务启航，我们预计2025-2027 年归母净利润分别为1.56/1.94/2.37亿元，当前市值对应 PE 为48.6/39.1/32.1 倍，首次覆盖给予“买入”评级。
　　轴承与丝杠工艺相通，汽车轴承厂切入丝杠具备先天优势
	国内厂商切入高端丝杠市场需要突破设备（尤其是螺纹磨床）、工艺和原材料三大壁垒。轴承工艺覆盖锻造、热处理、车削和磨削等工艺，与丝杠工艺高度重叠，并且部分生产设备可共用，如车床、检测设备及部分磨床，减少初期资本投入及试错成本。轴承钢适用于航空航天等严苛环境，对材料的硬度、韧性、耐磨性、抗疲劳性及加工精度有着极高要求，轴承企业基于多年积累，对原材料有深入理解。此外，汽车轴承厂的客户同时需要汽车丝杠，并且兼具车规级品质、优秀的成本控制能力，因此切入丝杠天然具备优势。海外头部企业舍弗勒、SKF、THK，国内五洲新春、长盛轴承等，均是轴承及丝杠协同布局的典型案例。由于丝杠精度极高，轴承厂还需补齐丝杠工艺及设备短板，通过内部研发团队或外延并购方式，补充产业链所需资源，并与客户合作协同开发。在大规模量产阶段，降本能力的重要性提升，公司2024 年产轴承超2500 万套，并拥有萧山、钱塘、桐乡三大厂区，为机器人、OEM 等新业务预留充足产能，具备大规模量产及降本条件。
　　整合丝杠产业链资源，战略布局人形机器人领域
	公司拟收购誊展精密进军丝杠行业，通过外延并购完善机器人产业链，并成立人形机器人子公司加强资源整合。按照特斯拉 Optimus 单台人形机器人14 根行星滚柱丝杠、30 根微型丝杠，我们测算量产百万台对应丝杠市场规模230 亿元。
　　汽车单台丝杠用量为4-6 根，我们测算2030 年汽车丝杠市场规模460 亿元。公司基于汽车轴承的积累，通过产业链整合补齐丝杠资源，布局机器人及汽车丝杠，从生产工艺到下游客户具有高度协同性，直面百亿蓝海市场。
　　风险提示：人形机器人产业化不及预期、收购进展风险、供应链导入风险",开源证券
8,8,2025-04-30,首都在线(300846)：坚定全球化布局 AI助力再次腾飞,"　　坚定全球化布局，从IDC到计算云再到智算云
　　公司成立于2005 年，是国内较早的全球云网一体化云计算服务商。核心高管背景均来自通信&云计算行业“老兵”，具备优秀的资源统筹能力。公司核心业务可以分为IDC 服务、云主机及相关服务、其他业务；IDC 服务2024 年营收占比为55%，云主机及相关服务2024 年营收占比为28%。其中云主机及相关服务可以分为计算云和智算云，2024 年公司智算云业务实现收入1.83 亿元，同比增长184%，收入占比提升至13%，未来将成为快速发展的“主引擎”。
　　需求端：AI 应用数量和流量双提升，推理需求有望迎来加速释放期
　　大模型能力持续提升，长文本、深度思考能力不断突破，配套协议不断完善，AI Agent 智变元年已至。截止到2024 年12 月，中国AI 原生APP 月度活跃用户已经突破1.2 亿，同比增长232%。开源模型能力逐步实现与闭源模型逐步处于同一梯队，开源模型的持续进阶使得应用开发的技术门槛和成本门槛进一步降低，同时云服务厂商也可以部署更加有竞争力的模型带来云服务使用效率的持续提升。基于大模型基座诞生出的AI 原生应用和被赋能的应用对于智算算力的需求日益提升。
　　供给端：IDC 算力利用率有望爬坡，智算云服务长期供给仍短缺
　　IDC 行业具有较强周期性。基于供需框架，可将IDC 行业发展划分为5 个阶段：（1）萌芽期（2000 年-2002 年）；（2）发展期（2003 年-2013 年）；（3）爆发期（2014 年-2020 年）；（4）洗牌期（2021 年-2022 年）；（5）反转期（2023 年至今）。IDC 行业具有需求的前置性，但是为了满足未来的可能需求，一般会高峰集中建设，但是伴随需求的新一轮周期，会率先带来基本面好转。云服务行业早期主要提供通用计算和增值服务，但AI 对基础设施提出了更高要求，云计算不再是企业AI 落地的“辅助工具”，而是不可或缺的核心基础设施。AI 云平台展现出敏捷优势，帮助企业实现低成本试错和快速验证，大幅降低了AI 应用的门槛。
　　优秀的资源统筹管理者，AI 助力再度腾飞
　　公司IDC 的模式主要为转售、轻资产运营，可以根据业务量及发展阶段来规划租赁规模、方式及时限，并根据业务发展的实际情况作出即时的反馈调整，从而减少资源闲置，并且为快速转型奠定基础。公司坚定全球化布局，掌握稀缺节点资源。首都在线立足中国，服务全球市场，业务范围遍及50 多个国家，在国内以及海外三大核心区域美洲、欧洲、亚太设有24 个地域区域，52 个可用区，94 个数据中心，上千个边缘算力节点覆盖，只需5 分钟即可完成全球业务的多点部署。公司是优秀的资源运筹管理者，在以上基础上，整体业务逐渐从IaaS 向Paas 和MaaS 进阶，有望从重资源型企业加速转型至资源统筹+赋能的云服务厂商。
　　风险提示
　　1、下游需求不及预期的风险；
　　2、国家产业政策调整的风险；
　　3、智算云投资规划不及预期的风险；
　　4、盈利预测不及预期的风险。",长江证券
9,9,2025-04-27,鼎捷数智(300378)：工业互联网龙头厂商 打造国内首个制造业多智能体协同平台,"　　投资要点
　　深耕行业40 余年，发展成为工业制造领域软件龙头供应商
　　公司以ERP 产品和智能制造解决方案为核心，积极推进云领域与工业互联网领域的创新应用研发，助力企业实践数字化转型。公司构建数智驱动的新型工业互联网平台——鼎捷雅典娜，并基于此拓展装备制造云、零部件云、财务云等行业化场景 AI 应用，以及各类通用型AI 应用，持续助力企业客户数智化转型。
　　公司产品服务矩阵完善，多个细分赛道市占率优势显著
　　2021-2024 年公司研发设计、数字化管理、生产控制以及AIoT 业务营收CAGR分别达到21.03%/2.00%/12.50%/21.82%，公司在中国制造业 ERP 软件市场销售份额中位居本土厂商第一，占有率达到14.8%，同时公司MES、PLM 软件在多个细分行业的市占率均位居国内厂商第一梯队。未来公司有望深度受益于新型工业化进程叠加国家政策引导，保持高质量成长。
　　布局AI+工业应用抢抓先机，率先构建智能制造领域多智能体协同平台
　　2025 年2 月，公司宣布DeepSeek 大模型全面集成至鼎捷IndepthAI 智能体平台及鼎捷全线智能应用。同时，公司拟发布制造业多智能体协议MACP 以及制造业通用多智能体协作平台Commander 2.0，平台能够深刻理解企业的知识体系、业务流程与数据，并通过鼎捷MACP 多智能体上下文协议，实现智能体之间的自然协同交互，提升智能体的兼容性和合作效率。在鼎捷MACP 协议框架下，制造业的工作场景有望实现从传统人工协调到智能化协作的转型。
　　盈利预测与估值
　　我们预计公司2025-2027 年实现营收26.57/30.75/36.35 亿元，同比增长14.03%/15.69%/18.23%，归母净利润分别达到1.93/2.44/3.17 亿元，同比增长23.82%/26.54%/29.99%，对应EPS 分别为0.71/0.90/1.17 元。首次覆盖，给予“买入”评级。
　　风险提示
　　1、市场竞争加剧的风险；2、业务开拓不及预期的风险；3、技术迭代不及预期的风险。",浙商证券
